route_id,date,month,BPI
T465,2026-01-09,2026-01,0.7645
T505,2026-01-09,2026-01,0.8751
T506,2026-01-09,2026-01,0.8384
T509,2026-01-09,2026-01,0.8566
T511,2026-01-09,2026-01,0.8017
T543,2026-01-09,2026-01,0.8443
T544,2026-01-09,2026-01,0.8936
T559,2026-01-09,2026-01,0.7772
T560,2026-01-09,2026-01,0.9048
T561,2026-01-09,2026-01,0.8723
T565,2026-01-09,2026-01,0.9631
T566,2026-01-09,2026-01,0.9198
T567,2026-01-09,2026-01,0.928
T568,2026-01-09,2026-01,0.7286
T569,2026-01-09,2026-01,0.8401
T585,2026-01-09,2026-01,0.929
T586,2026-01-09,2026-01,0.9501
T587,2026-01-09,2026-01,0.9271
T588,2026-01-09,2026-01,0.9188
T589,2026-01-09,2026-01,0.9151
T772,2026-01-09,2026-01,0.7049
T801,2026-01-09,2026-01,0.8776
T802,2026-01-09,2026-01,0.8016
T803,2026-01-09,2026-01,0.8642
T804,2026-01-09,2026-01,0.9369
T805,2026-01-09,2026-01,0.9188
T807,2026-01-09,2026-01,0.8998
T808,2026-01-09,2026-01,0.9157
T809,2026-01-09,2026-01,0.9031
T810,2026-01-09,2026-01,0.7362
T811,2026-01-09,2026-01,0.8309
T812,2026-01-09,2026-01,0.8423
T813,2026-01-09,2026-01,0.9012
T814,2026-01-09,2026-01,0.9231
T815,2026-01-09,2026-01,0.8492
T816,2026-01-09,2026-01,0.8566
T817,2026-01-09,2026-01,0.7463
T818,2026-01-09,2026-01,0.8545
T821,2026-01-09,2026-01,0.8354
T852,2026-01-09,2026-01,0.8336
T100,2026-01-12,2026-01,0.9516
T101,2026-01-12,2026-01,0.8823
T102,2026-01-12,2026-01,0.8347
T103,2026-01-12,2026-01,0.93
T104,2026-01-12,2026-01,0.9497
T105,2026-01-12,2026-01,0.9524
T106,2026-01-12,2026-01,0.9507
T107,2026-01-12,2026-01,0.8586
T108,2026-01-12,2026-01,0.8346
T109,2026-01-12,2026-01,0.8176
T110,2026-01-12,2026-01,0.9136
T114,2026-01-12,2026-01,0.75
T115,2026-01-12,2026-01,0.8654
T117,2026-01-12,2026-01,0.9901
T121,2026-01-12,2026-01,0.9308
T152,2026-01-12,2026-01,0.8085
T154,2026-01-12,2026-01,0.8142
T180,2026-01-12,2026-01,0.9027
T305,2026-01-12,2026-01,0.7983
T352,2026-01-12,2026-01,0.7954
T400,2026-01-12,2026-01,0.9557
T401,2026-01-12,2026-01,0.8456
T402,2026-01-12,2026-01,0.786
T408,2026-01-12,2026-01,0.8625
T409,2026-01-12,2026-01,0.967
T410,2026-01-12,2026-01,0.5296
T411,2026-01-12,2026-01,0.955
T412,2026-01-12,2026-01,0.9774
T413,2026-01-12,2026-01,0.9603
T414,2026-01-12,2026-01,0.7943
T415,2026-01-12,2026-01,0.5981
T416,2026-01-12,2026-01,0.7724
T417,2026-01-12,2026-01,0.1398
T418,2026-01-12,2026-01,0.6905
T419,2026-01-12,2026-01,0.7432
T451,2026-01-12,2026-01,0.7519
T453,2026-01-12,2026-01,0.7889
T455,2026-01-12,2026-01,0.9502
T457,2026-01-12,2026-01,0.7831
T458,2026-01-12,2026-01,0.8504
