"date","route_id","n","n_on_time","n_early","n_late","total_schedule_duration","x1","x2","mae_ratio","log_x1","x2_sq","log_I_hat","I_hat","month"
2025-04-03,"T107",275,274,1,0,13.0166666666667,0.9964,0.9999,1e-04,-0.0036,0.9999,-0.0262,0.9741,"2025-04"
2025-04-03,"T108",657,602,52,3,32.8166666666667,0.9163,0.9225,0.0775,-0.0874,0.8511,-0.1512,0.8597,"2025-04"
2025-04-03,"T109",601,528,70,3,32.5333333333333,0.8785,0.8765,0.1235,-0.1295,0.7682,-0.2315,0.7933,"2025-04"
2025-04-03,"T110",385,349,36,0,22.2666666666667,0.9065,0.9759,0.0241,-0.0982,0.9524,-0.1406,0.8688,"2025-04"
2025-04-03,"T111",278,252,26,0,18.6,0.9065,0.9532,0.0468,-0.0982,0.9086,-0.1484,0.8621,"2025-04"
2025-04-03,"T112",223,223,0,0,9.43333333333333,1,1,0,0,1,-0.0218,0.9784,"2025-04"
2025-04-03,"T113",219,211,8,0,10.4333333333333,0.9635,0.9971,0.0029,-0.0372,0.9943,-0.0655,0.9366,"2025-04"
2025-04-03,"T114",266,236,27,3,57.5,0.8872,0.9233,0.0767,-0.1197,0.8524,-0.1876,0.8289,"2025-04"
2025-04-03,"T115",598,545,52,1,31.5666666666667,0.9114,0.9754,0.0246,-0.0928,0.9514,-0.1344,0.8742,"2025-04"
2025-04-03,"T117",339,338,1,0,13.8166666666667,0.9971,0.9998,2e-04,-0.003,0.9995,-0.025,0.9753,"2025-04"
2025-04-03,"T118",309,306,3,0,13.25,0.9903,0.9964,0.0036,-0.0098,0.9929,-0.0339,0.9667,"2025-04"
2025-04-03,"T119",367,329,34,4,25.8,0.8965,0.7755,0.2245,-0.1093,0.6015,-0.3191,0.7268,"2025-04"
2025-04-03,"T121",214,208,3,3,16.0333333333333,0.972,0.9907,0.0093,-0.0284,0.9816,-0.0566,0.945,"2025-04"
2025-04-03,"T152",771,669,98,4,68.65,0.8677,0.9624,0.0376,-0.1419,0.9263,-0.1956,0.8223,"2025-04"
2025-04-03,"T154",444,382,48,14,64.4833333333333,0.8604,0.8748,0.1252,-0.1504,0.7653,-0.2573,0.7731,"2025-04"
2025-04-03,"T180",626,603,13,10,34.1,0.9633,0.9699,0.0301,-0.0374,0.9407,-0.072,0.9305,"2025-04"
2025-04-03,"T305",586,527,51,8,67.2833333333333,0.8993,0.8795,0.1205,-0.1061,0.7736,-0.2024,0.8168,"2025-04"
2025-04-03,"T352",532,416,113,3,78.85,0.782,0.8999,0.1001,-0.246,0.8098,-0.3486,0.7057,"2025-04"
2025-04-03,"T400",250,230,18,2,54.7166666666667,0.92,0.9611,0.0389,-0.0834,0.9237,-0.1282,0.8797,"2025-04"
2025-04-03,"T401",426,398,28,0,57.0333333333333,0.9343,0.9777,0.0223,-0.068,0.9558,-0.1049,0.9004,"2025-04"
2025-04-03,"T402",728,699,28,1,37.1166666666667,0.9602,0.9723,0.0277,-0.0407,0.9453,-0.0749,0.9278,"2025-04"
2025-04-03,"T408",623,542,75,6,33.5,0.87,0.9369,0.0631,-0.1393,0.8778,-0.2033,0.816,"2025-04"
2025-04-03,"T409",588,571,16,1,17.85,0.9711,0.99,0.01,-0.0293,0.9801,-0.0574,0.9442,"2025-04"
2025-04-03,"T410",477,349,119,9,38.6333333333333,0.7317,0.8585,0.1415,-0.3124,0.737,-0.4587,0.6321,"2025-04"
2025-04-03,"T411",400,391,4,5,19.9666666666667,0.9775,0,1.0821,-0.0228,0,NA,0,"2025-04"
2025-04-03,"T412",710,699,7,4,24.5833333333333,0.9845,0.9908,0.0092,-0.0156,0.9817,-0.0415,0.9593,"2025-04"
2025-04-03,"T413",459,450,3,6,23.1,0.9804,0.9569,0.0431,-0.0198,0.9157,-0.0564,0.9452,"2025-04"
2025-04-03,"T414",565,534,20,11,27.2333333333333,0.9451,0.7235,0.2765,-0.0564,0.5234,-0.336,0.7146,"2025-04"
2025-04-03,"T415",207,184,21,2,23.45,0.8889,0.7526,0.2474,-0.1178,0.5664,-0.3614,0.6967,"2025-04"
2025-04-03,"T416",392,366,23,3,19.4,0.9337,0.9181,0.0819,-0.0686,0.843,-0.132,0.8763,"2025-04"
2025-04-03,"T417",638,622,13,3,40.6,0.9749,0.9777,0.0223,-0.0254,0.9559,-0.0559,0.9456,"2025-04"
2025-04-03,"T418",443,398,43,2,28.6333333333333,0.8984,0.9815,0.0185,-0.1071,0.9633,-0.1492,0.8614,"2025-04"
2025-04-03,"T419",418,356,54,8,31.1166666666667,0.8517,0.8198,0.1802,-0.1606,0.6721,-0.3229,0.724,"2025-04"
2025-04-03,"T451",761,629,124,8,95.0166666666666,0.8265,0.926,0.074,-0.1905,0.8574,-0.2679,0.765,"2025-04"
2025-04-03,"T453",714,591,120,3,36.95,0.8277,0.9132,0.0868,-0.1891,0.8339,-0.274,0.7603,"2025-04"
2025-04-03,"T454",180,170,4,6,10.7333333333333,0.9444,0.8282,0.1718,-0.0572,0.686,-0.1943,0.8234,"2025-04"
2025-04-03,"T455",372,348,22,2,24.05,0.9355,0.9765,0.0235,-0.0667,0.9536,-0.1041,0.9011,"2025-04"
2025-04-03,"T456",171,156,7,8,14.8,0.9123,0.8531,0.1469,-0.0918,0.7278,-0.2088,0.8116,"2025-04"
2025-04-03,"T457",343,297,46,0,40.4333333333333,0.8659,0.9582,0.0418,-0.144,0.9182,-0.1995,0.8191,"2025-04"
2025-04-03,"T458",466,424,41,1,41.35,0.9099,0.9735,0.0265,-0.0945,0.9477,-0.137,0.872,"2025-04"
2025-04-03,"T459",536,468,68,0,36.0166666666667,0.8731,0.9516,0.0484,-0.1357,0.9056,-0.1926,0.8248,"2025-04"
2025-04-03,"T460",760,622,138,0,68.9833333333333,0.8184,0.9368,0.0632,-0.2004,0.8776,-0.274,0.7603,"2025-04"
