route_id,date,month,BPI,route_short_name,route_long_name
T7740,2026-04-08,2026-04,0.8658,T774,"Stesen LRT Glenmarie ~ MSU, Stadium Shah Alam"
T7800,2026-04-08,2026-04,0.7873,T780,Stesen LRT BU 11 ~ Stesen LRT Kelana Jaya
T7810,2026-04-08,2026-04,0.6658,T781,Stesen LRT Kelana Jaya ~ Stesen LRT Subang
T7820,2026-04-08,2026-04,1,T782,Stesen LRT Lembah Subang ~ Ara Damansara
T7860,2026-04-08,2026-04,0.3733,T786,Stesen LRT Asia Jaya ~ Stesen MRT Phileo Damansara
T7870,2026-04-08,2026-04,0.9131,T787,Stesen LRT Asia Jaya ~ Seksyen 14 & 18
T7890,2026-04-08,2026-04,0.9238,T789,Stesen LRT Universiti ~ Universiti Malaya via Pantai Hillpark
T7900,2026-04-08,2026-04,0.3497,T790,Stesen LRT Paramount ~ Mid Valley
T7910,2026-04-08,2026-04,0.8006,T791,Stesen LRT Kerinchi ~ Pantai Hill Park
T8500,2026-04-08,2026-04,1,T850,Stesen LRT Bangsar ~ Stesen MRT Semantan
U1510,2026-04-08,2026-04,0.5495,151,Bandar Baru Selayang ~ Hab Pasar Seni
U1710,2026-04-08,2026-04,0.8492,171,Hab Wira Damai ~ Lebuh Ampang via Sentul
U1730,2026-04-08,2026-04,0.773,173,Taman Jasa Utama ~ Lebuh Ampang
U1800,2026-04-08,2026-04,0.8224,180,Taman Dato' Senu ~ Hab Pasar Seni
U1900,2026-04-08,2026-04,0.8878,190,Desa Sri Hartamas ~ Lin Ho Jln Lekiu
U2000,2026-04-08,2026-04,0.8668,200,UIA Gombak ~ SOGO KL
U2018,2026-04-08,2026-04,0.6567,201,Batu 12 Gombak – SOGO KL
U2020,2026-04-08,2026-04,0.7903,202,Hub Wira Damai ~ Lebuh Ampang via Gombak
U2200,2026-04-08,2026-04,0.694,220,Taman Melawati ~ Lebuh Ampang
U2220,2026-04-08,2026-04,0.8123,222,Taman Melawati ~ Stesen LRT Wangsa Maju
U2500,2026-04-08,2026-04,0.9205,250,Stesen LRT Wangsa Maju ~ Lebuh Ampang
U2510,2026-04-08,2026-04,0.8843,251,AU3 Jentayu ~ Chow Kit
U2538,2026-04-08,2026-04,0.4191,253,Stesen LRT Wangsa Maju ~ Ampang Point
U2548,2026-04-08,2026-04,0.7549,254,Ayer Panas ~ Titiwangsa via Chowkit
U3000,2026-04-08,2026-04,0,300,Terminal Maluri ~ Lebuh Ampang
U3020,2026-04-08,2026-04,0.6601,302,Titiwangsa ~ KLCC
U3030,2026-04-08,2026-04,0.635,303,Taman Mulia Jaya ~ Lebuh Ampang
U4000,2026-04-08,2026-04,0.8851,400,Damai Perdana ~ Hab Pasar Seni via Bukit Bintang
U4200,2026-04-08,2026-04,0.4638,420,Hentian Taman Dagang ~ Menara Maybank via Bukit Bintang
U4210,2026-04-08,2026-04,0.751,421,Hentian Taman Dagang ~ Menara Maybank via Bukit Bintang
U4500,2026-04-08,2026-04,0.8242,450,Hentian Kajang ~ Hab Pasar Seni
U5410,2026-04-08,2026-04,0.2817,541,Stesen MRT Taman Equine ~ Stesen LRT BK 5
U5800,2026-04-08,2026-04,0.9074,580,Desa Petaling ~ Pasar Seni via Stesen LRT Salak Selatan
U5810,2026-04-08,2026-04,0.4935,581,Desa Tasik ~ Stesen LRT Bandar Tasik Selatan
U5900,2026-04-08,2026-04,0.9484,590,Bandar Sungai Long ~ Hab Pasar Seni
U6000,2026-04-08,2026-04,0.6137,600,Puchong Utama ~ Hab Pasar Seni
U6400,2026-04-08,2026-04,0.8355,640,Hab Bas Sri Manja ~ Hab Pasar Seni
U6418,2026-04-08,2026-04,0.8589,641,Stesen LRT Subang Jaya ~ Pearl Point
U6500,2026-04-08,2026-04,0.8591,650,Taman Desa ~ Hab Pasar Seni
U6510,2026-04-08,2026-04,0.7233,651,Stesen LRT Muhibbah ~Pearl Point
U6520,2026-04-08,2026-04,0.8862,652,Stesen LRT Awan Besar ~Batu 3 Jalan Klang Lama
U7508,2026-04-08,2026-04,0.8143,750,Hab Sekysen 2 ~ Hab Pasar Seni
U7510,2026-04-08,2026-04,0.5496,751,Taman Sri Muda ~ Hab Pasar Seni
U7520,2026-04-08,2026-04,0.7296,752,Stesen LRT Putra Height ~ Hentian Bandar Shah Alam
U7538,2026-04-08,2026-04,0.9837,753,Hentian Bandar Shah Alam ~ UiTM Puncak Alam
U7548,2026-04-08,2026-04,0,754,LRT Stadium Shah Alam ~ UITM Puncak Perdana
U7700,2026-04-08,2026-04,0.5979,770,Subang Mewah USJ 1 ~ Hab Pasar Seni
U7718,2026-04-08,2026-04,1,771,Subang Mewah USJ 1 ~ Desa Mentari via Persiaran Tujuan
U7720,2026-04-08,2026-04,0.7905,772,Subang Suria Mah Sing ~ Hab Pasar Seni
U7800,2026-04-08,2026-04,0.8645,780,Kota Damansara ~ Hab Pasar Seni
U7828,2026-04-08,2026-04,0.8921,782,Hentian PJ Old Town ~ Hab Pasar Seni
U7830,2026-04-08,2026-04,0.6048,783,Stesen LRT Kelana Jaya ~ Subang Parade
U8210,2026-04-08,2026-04,0.7605,821,Pantai Hill Park ~ Hab Pasar Seni
U8220,2026-04-08,2026-04,1,822,Stesen LRT Bangsar ~ Bangsar Shopping Centre
S6060,2026-04-09,2026-04,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-04-09,2026-04,0.5893,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-04-09,2026-04,0.8342,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2026-04-09,2026-04,0.8678,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2220,2026-04-09,2026-04,0.6579,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2500,2026-04-09,2026-04,0.8716,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-04-09,2026-04,0,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
